Designator,Footprint,Quantity,Value,LCSC Part #
10K,0805,1,10k,
"10U_6, 10U_5, 10U_4, 10U_3, 10U_2, 10U, 470U",0603,7,10u,
12MHZ,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,12Mhz,
2.7K,0603,1,2.7K,
"22PF_2, 22PF",0805,2,22pF,
2A,1206,1,2A,
"330R_2, 330R, R1",0805,3,330R,
"5.1K_2, 5.1K",0805,2,5.1k,
"56K_2, 56K",0805,2,56k,
ACT,LED_D3.0mm,1,ACT,
FE1.1S,SSOP-28_3.9x9.9mm_P0.635mm,1,FE1.1s,
PORT1,LED_D3.0mm,1,PORT1,
PORT2,LED_D3.0mm,1,PORT2,
PORT3,LED_D3.0mm,1,PORT3,
PORT4,LED_D3.0mm,1,PORT4,
"SRVO5_5, SRVO5_4, SRVO5_3, SRVO5_2, SRVO5",SOT-23-6-routable,5,SRV05-4,
"USBA_3, USBA_2, USBA",USB_A_Molex_67643_Horizontal,3,USB_A,
"USBC_2, USBC",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_16P,
