Designator,Mid X,Mid Y,Rotation,Layer
10K,77.78,-76.7475,270.0,top
10U_6,88.09,-62.77,90.0,top
10U_5,85.0,-79.225,90.0,top
10U_4,75.5,-88.5,180.0,top
10U_3,105.87,-100.58,0.0,top
10U_2,86.21,-110.695,90.0,top
10U,105.12,-76.53,0.0,top
12MHZ,81.2,-91.98,0.0,top
2.7K,80.5,-77.5,0.0,top
22PF_2,85.31,-93.17,90.0,top
22PF,76.99,-93.26,270.0,top
2A,59.5,-66.9,90.0,top
330R_2,59.0975,-94.35,180.0,top
330R,69.61,-101.54,270.0,top
470U,75.16,-82.11,0.0,top
5.1K_2,64.0,-71.0,0.0,top
5.1K,60.5,-79.4125,90.0,top
56K_2,75.86,-106.4,90.0,top
56K,84.02,-108.15,0.0,top
ACT,62.755,-98.85,0.0,top
FE1.1S,80.6,-83.7225,90.0,top
PORT1,55.63,-86.09,180.0,top
PORT2,55.63,-90.6,180.0,top
PORT3,60.57,-86.1,180.0,top
PORT4,60.61,-90.62,180.0,top
R1,59.02,-82.89,180.0,top
SRVO5_5,98.42,-97.0875,270.0,top
SRVO5_4,82.605,-67.09,0.0,top
SRVO5_3,66.07,-75.8425,90.0,top
SRVO5_2,80.01,-105.68,180.0,top
SRVO5,100.09,-72.72,270.0,top
USBA_3,112.495,-72.675,90.0,top
USBA_2,82.625,-56.105,180.0,top
USBA,112.445,-97.05,90.0,top
USBC_2,53.82,-75.32,270.0,top
USBC,79.49,-114.905,0.0,top
